!def(PROTO),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(FEAT_GUI_W32),
True,
def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
def(__BORLANDC__),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_EMACS_TAGS),
!def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
