!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(_WIN32),
def(WSDEBUG_TRACE),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(MAIN),
def(LESSTIF_VERSION),
def(NBDEBUG),
True,
