(!def(FEAT_BEVAL)&def(NOIME)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(EBCDIC),
def(FEAT_BEVAL),
!def(EBCDIC),
def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
!def(RISCOS),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_DND),
True,
!def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_FKMAP),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
!def(LESSTIF_VERSION),
def(FEAT_MBYTE),
