!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
True,
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(FEAT_GUI),
def(__BORLANDC__),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_MBYTE),
def(DEBUG),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(NBDEBUG),
