!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(PROTO),
def(NBDEBUG),
!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
def(WSDEBUG_TRACE),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
True,
