!def(NO_CONSOLE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(WIN32),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
True,
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(PROTO),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(MAIN),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
