def(FEAT_BEVAL_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(WIN32),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(FEAT_PROFILE),
def(_WIN32),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(__MINT__),
True,
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(FEAT_GUI),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
def(PROTO),
!def(FEAT_PROFILE),
def(MAIN),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
