!def(EBCDIC),
!def(NO_CONSOLE),
!def(RISCOS),
def(FEAT_GUI_GTK),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
def(JUMPLIST_ROTATE),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(DEBUG),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_GUI_MOTIF),
def(NBDEBUG),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_MOTIF),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
def(LESSTIF_VERSION),
def(EBCDIC),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
True,
def(FEAT_GUI_W32),
!def(WIN64),
def(FEAT_BEVAL),
def(WIN64),
