!def(EBCDIC),
def(NBDEBUG),
!def(FEAT_GUI_W32),
!def(RISCOS),
def(FEAT_TOOLBAR),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
def(FEAT_FKMAP),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
!def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(DEBUG),
def(LESSTIF_VERSION),
True,
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
def(FEAT_DND),
def(EBCDIC),
def(FEAT_MBYTE),
