!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(PROTO),
!def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_EMACS_TAGS),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(PROTO),
def(DEBUG),
def(FEAT_TERMRESPONSE),
True,
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
