!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(PROTO),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(FEAT_RIGHTLEFT),
def(PROTO),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
!def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_MBYTE),
def(NBDEBUG),
def(FEAT_FKMAP),
def(DEBUG),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
True,
