!def(PROTO),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(DEBUG),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(PROTO),
def(NBDEBUG),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
True,
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
