!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_GUI),
def(LESSTIF_VERSION),
!def(RISCOS),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(EBCDIC),
def(MCH_WRITE_DUMP),
True,
def(PROTO),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(__BORLANDC__),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(FEAT_FKMAP),
def(RISCOS),
def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
!def(EBCDIC),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
