!def(PROTO),
def(__BORLANDC__),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(PROTO),
def(NBDEBUG),
def(DEBUG),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
