!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(MAIN),
def(NBDEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
def(PROTO),
def(LESSTIF_VERSION),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_GTK),
True,
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(FEAT_BEVAL_GUI),
def(WSDEBUG_SENSE),
def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_TOOLBAR),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
