def(FEAT_BEVAL_GUI),
True,
def(FEAT_BEVAL),
def(MAIN),
def(WIN32),
def(FEAT_JOB_CHANNEL),
def(PROTO),
def(WSDEBUG_TRACE),
def(_WIN32),
def(__MINT__),
!def(FEAT_GUI_W32),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_CLIPBOARD),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(FEAT_PROFILE),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
!def(FEAT_PROFILE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(INET_SOCKETS),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
