!def(FEAT_GUI_GTK),
def(__MINT__),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(_WIN32),
def(FEAT_TERMRESPONSE),
def(UNIX),
def(FEAT_PROFILE),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(PROTO),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
!def(FEAT_PROFILE),
def(WIN32),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(UNIX),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
True,
def(INET_SOCKETS),
def(DEBUG),
!def(FEAT_BEVAL_GUI),
def(ABORT_ON_INTERNAL_ERROR),
