!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(FEAT_CLIPBOARD),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(PROTO),
!def(PROTO),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_FKMAP),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
True,
def(NBDEBUG),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
