(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
True,
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(INET_SOCKETS),
def(WIN32),
def(FEAT_SUN_WORKSHOP),
def(__MINT__),
def(PROTO),
def(FEAT_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(_WIN32),
def(MAIN),
def(DEBUG),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
