(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(WIN32),
def(LESSTIF_VERSION),
def(MAIN),
def(NBDEBUG),
def(FEAT_TOOLBAR),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(_WIN32),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(__MINT__),
def(FEAT_GUI_W32),
def(PROTO),
True,
!def(INET_SOCKETS),
def(INET_SOCKETS),
