!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(DEBUG),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(PROTO),
!def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
True,
def(NBDEBUG),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(FEAT_GUI),
