(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(FEAT_BEVAL_GUI),
def(NBDEBUG),
True,
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
!def(FEAT_GUI_GTK),
!def(UNIX),
def(LESSTIF_VERSION),
def(__MINT__),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
def(INET_SOCKETS),
def(_WIN32),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(ABORT_ON_INTERNAL_ERROR),
def(UNIX),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(MAIN),
def(FEAT_TERMRESPONSE),
def(WIN32),
!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(PROTO),
