!def(EBCDIC),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
True,
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(DEBUG),
def(EBCDIC),
def(WSDEBUG_SENSE),
!def(RISCOS),
!def(PROTO),
!def(FEAT_MBYTE),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(RISCOS),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
