!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(LESSTIF_VERSION),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_PROFILE),
def(MAIN),
def(WSDEBUG_SENSE),
def(_WIN32),
def(FEAT_BEVAL),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_GUI),
def(WSDEBUG),
True,
def(DEBUG),
def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_PROFILE),
def(FEAT_JOB_CHANNEL),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
