!def(PROTO),
def(WSDEBUG_TRACE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
!def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_W32),
True,
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(WSDEBUG),
def(FEAT_GUI),
def(__BORLANDC__),
def(PROTO),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
