def(FEAT_PROFILE),
def(__MINT__),
def(MAIN),
def(FEAT_BEVAL),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(NBDEBUG),
def(LESSTIF_VERSION),
True,
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_PROFILE),
def(FEAT_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI_W32),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(_WIN32),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
