!def(PROTO),
def(PROTO),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI),
!def(FEAT_BEVAL),
def(FEAT_CLIPBOARD),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
True,
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(DEBUG),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(__BORLANDC__),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
