!def(RISCOS),
def(FEAT_FKMAP),
True,
!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(NO_CONSOLE),
def(PROTO),
def(DEBUG),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(EBCDIC),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(EBCDIC),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(RISCOS),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
