!def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
True,
def(FEAT_BEVAL),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_CLIPBOARD),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
