def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
!def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(RISCOS),
!def(RISCOS),
def(NBDEBUG),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
!def(PROTO),
!def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(DEBUG),
def(LESSTIF_VERSION),
True,
def(FEAT_GUI_GTK),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
