def(DEBUG),
!def(FEAT_GUI_W32),
def(MAIN),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(PROTO),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(FEAT_GUI),
!def(INET_SOCKETS),
def(WIN32),
def(_WIN32),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
