!def(NO_CONSOLE),
def(MAIN),
def(PROTO),
def(MCH_WRITE_DUMP),
True,
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(__BORLANDC__),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(DEBUG),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
!def(PROTO),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
