!def(NO_CONSOLE),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
!def(PROTO),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(DEBUG),
def(__BORLANDC__),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_MBYTE),
def(WSDEBUG),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(PROTO),
