!def(PROTO),
!def(NO_CONSOLE),
def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(INET_SOCKETS),
def(__BORLANDC__),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(WSDEBUG),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
True,
def(FEAT_BEVAL),
