def(MAIN),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(PROTO),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(WSDEBUG),
def(__BORLANDC__),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(INET_SOCKETS),
!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(DEBUG),
!def(FEAT_GUI_W32),
True,
def(FEAT_TOOLBAR),
