!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
True,
def(NBDEBUG),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_BEVAL),
!def(PROTO),
def(FEAT_GUI),
def(DEBUG),
!def(NO_CONSOLE),
!def(INET_SOCKETS),
