!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
True,
def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(PROTO),
def(FEAT_BEVAL),
!def(PROTO),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
