def(FEAT_BEVAL_GUI),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(_WIN32),
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(DEBUG),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(FEAT_GUI_W32),
def(FEAT_GUI),
def(MAIN),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(PROTO),
True,
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
