!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(WIN32),
def(_WIN32),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(MAIN),
def(__MINT__),
def(PROTO),
def(WSDEBUG_SENSE),
True,
!def(INET_SOCKETS),
def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
