!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(__BORLANDC__),
True,
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(DEBUG),
def(NBDEBUG),
def(WSDEBUG_TRACE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(MCH_WRITE_DUMP),
