!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
True,
def(__BORLANDC__),
def(FEAT_CLIPBOARD),
!def(FEAT_EMACS_TAGS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(DEBUG),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
def(NBDEBUG),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_EMACS_TAGS),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
