(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(!def(FEAT_BEVAL)&def(NOIME)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(EBCDIC),
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_GUI_W32),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_DND),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
True,
!def(RISCOS),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
