(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
!def(FEAT_RIGHTLEFT),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
def(FEAT_MBYTE),
def(FEAT_GUI_MOTIF),
def(LESSTIF_VERSION),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
def(FEAT_RIGHTLEFT),
def(WIN64),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(FEAT_GUI_GTK),
def(EBCDIC),
def(NBDEBUG),
True,
def(DEBUG),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(EBCDIC),
!def(WIN64),
!def(RISCOS),
!def(FEAT_GUI_MOTIF),
