!def(PROTO),
def(WSDEBUG),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(FEAT_BEVAL),
def(__BORLANDC__),
def(NBDEBUG),
def(DEBUG),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(RISCOS),
def(FEAT_TOOLBAR),
!def(FEAT_MBYTE),
!def(RISCOS),
def(FEAT_FKMAP),
True,
def(FEAT_GUI),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
