!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
!def(FEAT_EMACS_TAGS),
!def(NO_CONSOLE),
def(FEAT_EMACS_TAGS),
def(MCH_WRITE_DUMP),
!def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
True,
!def(FEAT_BEVAL),
def(FEAT_GUI),
def(RISCOS),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_BEVAL),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_FKMAP),
!def(RISCOS),
!def(PROTO),
def(WSDEBUG),
