!def(PROTO),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
True,
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
