!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(DEBUG),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(FEAT_MBYTE),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
True,
def(WSDEBUG_TRACE),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(PROTO),
