!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(FEAT_BEVAL),
def(PROTO),
def(FEAT_GUI),
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(LESSTIF_VERSION),
True,
def(__BORLANDC__),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_TOOLBAR),
