!def(FEAT_RIGHTLEFT),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_CLIPBOARD),
def(WSDEBUG),
def(__BORLANDC__),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_TERMRESPONSE),
True,
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
