def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_JOB_CHANNEL),
def(FEAT_MBYTE),
def(NBDEBUG),
def(DEBUG),
def(PROTO),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(__MINT__),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(MAIN),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL_GUI),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_PROFILE),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
def(WIN32),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
