!def(PROTO),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
!def(NO_CONSOLE),
def(PROTO),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
True,
def(DEBUG),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(MAIN),
def(FEAT_GUI),
