!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
def(DEBUG),
def(__BORLANDC__),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(FEAT_GUI_W32),
True,
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
!def(PROTO),
