!def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
def(FEAT_TERMRESPONSE),
def(__MINT__),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(PROTO),
def(NBDEBUG),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(_WIN32),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WIN32),
def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
