!def(INET_SOCKETS),
def(FEAT_FKMAP),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
def(PROTO),
!def(PROTO),
def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
True,
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
