!def(INET_SOCKETS),
def(__BORLANDC__),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_FKMAP),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(PROTO),
def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
True,
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
