(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(EBCDIC),
!def(RISCOS),
def(FEAT_DND),
def(WSDEBUG_TRACE),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(WSDEBUG_SENSE),
(!def(PROTO)&!def(__BORLANDC__)),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
True,
def(LESSTIF_VERSION),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TOOLBAR),
!def(EBCDIC),
def(FEAT_TERMRESPONSE),
