!def(FEAT_PROFILE),
def(WIN32),
def(FEAT_GUI),
def(NBDEBUG),
def(__MINT__),
def(FEAT_CLIPBOARD),
def(FEAT_PROFILE),
def(MAIN),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(_WIN32),
!def(FEAT_GUI_W32),
def(FEAT_GUI_W32),
