!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(EBCDIC),
!def(RISCOS),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(PROTO),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(DEBUG),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
!def(PROTO),
!def(EBCDIC),
True,
def(JUMPLIST_ROTATE),
def(RISCOS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
