def(FEAT_BEVAL_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(FEAT_PROFILE),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG_TRACE),
def(DEBUG),
True,
def(JUMPLIST_ROTATE),
def(WIN32),
!def(FEAT_GUI_GTK),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
def(WSDEBUG),
def(FEAT_GUI_W32),
