!def(INET_SOCKETS),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
!def(PROTO),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
