!def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(UNIX),
def(FEAT_PROFILE),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(_WIN32),
def(WSDEBUG_SENSE),
True,
def(UNIX),
def(FEAT_BEVAL_GUI),
def(WIN32),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(__MINT__),
def(MAIN),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(PROTO),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
