(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(NBDEBUG),
def(DEBUG),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(PROTO),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(LESSTIF_VERSION),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
def(WIN32),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
def(__MINT__),
def(FEAT_GUI_GTK),
def(WSDEBUG),
def(MAIN),
True,
def(_WIN32),
