!def(NO_CONSOLE),
def(FEAT_MBYTE),
!def(FEAT_BEVAL),
True,
!def(PROTO),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(NBDEBUG),
def(FEAT_GUI),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(DEBUG),
def(FEAT_CLIPBOARD),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
