def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
!def(FEAT_EMACS_TAGS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_SENSE),
True,
def(WIN32),
def(FEAT_MBYTE),
def(PROTO),
def(_WIN32),
def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(MAIN),
def(NBDEBUG),
def(WSDEBUG),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
